station,valid,tmpf,dwpf,relh,sped,skyl1,peak_wind_gust_mph
AIA,2025-01-01 00:53,9.00,6.00,87.31,0.00,M,M
AIA,2025-01-01 01:53,7.00,5.00,91.29,8.05,M,M
AIA,2025-01-01 02:53,5.00,2.00,87.08,6.90,M,M
AIA,2025-01-01 03:53,7.00,3.00,83.27,0.00,M,M
AIA,2025-01-01 04:53,4.00,1.00,87.02,5.75,M,M
AIA,2025-01-01 05:53,6.00,3.00,87.14,3.45,M,M
AIA,2025-01-01 06:53,7.00,5.00,91.29,8.05,M,M
AIA,2025-01-01 07:53,7.00,5.00,91.29,6.90,M,M
AIA,2025-01-01 08:53,7.00,3.00,83.27,0.00,M,M
AIA,2025-01-01 09:53,17.00,14.00,87.76,0.00,M,M
AIA,2025-01-01 10:53,24.00,21.00,88.13,0.00,M,M
AIA,2025-01-01 11:53,33.00,24.00,69.16,10.35,M,M
AIA,2025-01-01 12:53,35.00,22.00,58.70,11.50,M,M
AIA,2025-01-01 13:53,36.00,22.00,56.42,14.95,M,M
AIA,2025-01-01 14:53,38.00,21.00,49.98,8.05,M,M
AIA,2025-01-01 15:53,39.00,13.00,34.01,18.40,M,M
AIA,2025-01-01 16:53,36.00,15.00,41.78,19.55,8000.00,M
AIA,2025-01-01 17:53,33.00,17.00,51.36,6.90,7000.00,M
AIA,2025-01-01 18:53,31.00,17.00,55.67,8.05,8000.00,M
AIA,2025-01-01 19:53,30.00,20.00,65.94,3.45,8000.00,M
AIA,2025-01-01 20:53,27.00,20.00,74.57,0.00,10000.00,M
AIA,2025-01-01 21:53,27.00,20.00,74.57,6.90,9000.00,M
AIA,2025-01-01 22:53,26.00,19.00,74.46,3.45,8000.00,M
AIA,2025-01-01 23:53,25.00,19.00,77.62,3.45,8000.00,M
AIA,2025-01-02 00:53,23.00,17.00,77.44,6.90,8000.00,M
AIA,2025-01-02 01:53,21.00,14.00,73.94,6.90,M,M
AIA,2025-01-02 02:53,15.00,10.00,80.19,3.45,M,M
AIA,2025-01-02 03:53,11.00,7.00,83.56,4.60,M,M
AIA,2025-01-02 04:53,11.00,8.00,87.42,5.75,M,M
AIA,2025-01-02 05:53,7.00,4.00,87.20,3.45,M,M
AIA,2025-01-02 06:53,9.00,6.00,87.31,4.60,M,M
AIA,2025-01-02 07:53,7.00,4.00,87.20,6.90,M,M
AIA,2025-01-02 08:53,13.00,9.00,83.70,3.45,10000.00,M
AIA,2025-01-02 09:53,18.00,14.00,84.05,0.00,8000.00,M
AIA,2025-01-02 10:53,23.00,17.00,77.44,0.00,7000.00,M
AIA,2025-01-02 11:53,25.00,18.00,74.36,3.45,4600.00,M
AIA,2025-01-02 12:53,27.00,18.00,68.45,5.75,4100.00,M
AIA,2025-01-02 13:53,27.00,18.00,68.45,4.60,3800.00,M
AIA,2025-01-02 14:53,27.00,20.00,74.57,0.00,4300.00,M
AIA,2025-01-02 15:53,28.00,20.00,71.56,0.00,6000.00,M
AIA,2025-01-02 16:53,28.00,20.00,71.56,0.00,6000.00,M
AIA,2025-01-02 17:53,27.00,21.00,77.80,0.00,5500.00,M
AIA,2025-01-02 18:53,21.00,17.00,84.26,8.05,5000.00,M
AIA,2025-01-02 19:53,16.00,15.00,95.74,4.60,M,M
AIA,2025-01-02 20:53,13.00,12.00,95.68,6.90,M,M
AIA,2025-01-02 21:53,11.00,10.00,95.64,5.75,M,M
AIA,2025-01-02 22:36,5.00,4.00,95.51,3.45,200.00,M
AIA,2025-01-02 22:39,7.00,5.00,91.29,4.60,200.00,M
AIA,2025-01-02 22:42,7.00,6.00,95.56,4.60,100.00,M
AIA,2025-01-02 22:49,6.80,6.80,100.00,3.45,100.00,M
AIA,2025-01-02 22:51,6.80,6.80,100.00,0.00,98.00,M
AIA,2025-01-02 22:53,8.00,7.00,95.58,3.45,100.00,M
AIA,2025-01-02 22:55,8.00,7.00,95.58,3.45,100.00,M
AIA,2025-01-02 23:14,7.00,5.00,91.29,4.60,100.00,M
AIA,2025-01-02 23:17,7.00,6.00,95.56,3.45,100.00,M
AIA,2025-01-02 23:27,8.00,6.00,91.33,5.75,200.00,M
AIA,2025-01-02 23:29,8.00,6.00,91.33,5.75,200.00,M
AIA,2025-01-02 23:36,8.00,6.00,91.33,8.05,200.00,M
AIA,2025-01-02 23:53,8.00,8.00,100.00,3.45,200.00,M
AIA,2025-01-03 00:03,10.00,7.00,87.37,3.45,200.00,M
AIA,2025-01-03 00:07,10.00,8.00,91.41,0.00,200.00,M
AIA,2025-01-03 00:15,11.00,9.00,91.45,0.00,200.00,M
AIA,2025-01-03 00:27,10.00,9.00,95.62,0.00,200.00,M
