station,valid,tmpf,dwpf,relh,sped,skyl1,peak_wind_gust_mph
BTA,2025-01-01 00:15,30.00,22.00,71.78,8.05,3800.00,M
BTA,2025-01-01 00:35,30.00,22.00,71.78,9.20,4000.00,M
BTA,2025-01-01 00:55,30.00,21.70,70.88,6.90,3800.00,M
BTA,2025-01-01 01:15,30.20,21.20,68.83,9.20,3600.00,M
BTA,2025-01-01 01:35,30.20,21.00,68.25,8.05,3400.00,M
BTA,2025-01-01 01:55,30.20,21.00,68.25,6.90,3400.00,M
BTA,2025-01-01 02:15,30.20,20.30,66.25,9.20,3400.00,M
BTA,2025-01-01 02:35,30.20,20.50,66.81,10.35,3400.00,M
BTA,2025-01-01 02:55,30.20,20.70,67.39,9.20,3200.00,M
BTA,2025-01-01 03:15,30.00,21.40,69.98,6.90,3200.00,M
BTA,2025-01-01 03:35,30.00,20.70,67.94,10.35,3200.00,M
BTA,2025-01-01 03:55,30.00,20.70,67.94,6.90,3200.00,M
BTA,2025-01-01 04:15,30.00,19.40,64.27,9.20,3200.00,M
BTA,2025-01-01 04:35,29.70,20.30,67.61,5.75,3200.00,M
BTA,2025-01-01 04:55,29.30,19.80,67.27,6.90,3200.00,M
BTA,2025-01-01 05:15,29.70,20.00,66.75,6.90,3200.00,M
BTA,2025-01-01 05:35,29.30,20.00,67.85,4.60,3200.00,M
BTA,2025-01-01 05:55,29.30,20.00,67.85,5.75,3000.00,M
BTA,2025-01-01 06:15,29.00,20.70,70.76,4.60,3000.00,M
BTA,2025-01-01 06:35,29.00,20.70,70.76,6.90,2800.00,M
BTA,2025-01-01 06:55,29.00,20.30,69.57,10.35,2600.00,M
BTA,2025-01-01 07:15,28.60,21.00,72.85,5.75,2600.00,M
BTA,2025-01-01 07:35,28.00,21.20,75.30,9.20,2600.00,M
BTA,2025-01-01 07:55,27.00,21.00,77.80,5.75,2800.00,M
BTA,2025-01-01 08:15,25.70,20.30,79.70,8.05,2800.00,M
BTA,2025-01-01 08:35,25.30,20.00,80.00,6.90,M,M
BTA,2025-01-01 08:55,25.30,19.40,77.98,5.75,M,M
BTA,2025-01-01 09:15,25.70,19.80,78.02,4.60,M,M
BTA,2025-01-01 09:35,26.60,20.00,75.81,6.90,M,M
BTA,2025-01-01 09:55,27.30,20.30,74.60,6.90,M,M
BTA,2025-01-01 10:15,28.40,20.70,72.52,5.75,M,M
BTA,2025-01-01 10:35,29.30,21.00,70.80,5.75,M,M
BTA,2025-01-01 10:55,30.00,21.40,69.98,6.90,M,M
BTA,2025-01-01 11:15,30.70,21.60,68.60,6.90,M,M
BTA,2025-01-01 11:35,31.60,22.00,67.27,11.50,M,M
BTA,2025-01-01 11:55,32.00,22.00,66.20,11.50,M,M
BTA,2025-01-01 12:15,32.40,21.40,63.51,8.05,M,M
BTA,2025-01-01 12:35,32.40,21.20,62.97,10.35,M,M
BTA,2025-01-01 12:55,33.00,21.60,62.52,6.90,M,M
BTA,2025-01-01 13:15,33.80,22.30,62.36,9.20,M,M
BTA,2025-01-01 13:35,34.00,22.30,61.87,9.20,M,M
BTA,2025-01-01 13:55,35.00,22.50,59.95,9.20,M,M
BTA,2025-01-01 14:15,35.00,22.50,59.95,8.05,M,M
BTA,2025-01-01 14:35,35.00,21.70,57.96,9.20,M,M
BTA,2025-01-01 14:55,36.00,23.00,58.85,11.50,M,M
BTA,2025-01-01 15:15,36.00,23.00,58.85,8.05,M,M
BTA,2025-01-01 15:35,36.00,22.50,57.62,9.20,M,M
BTA,2025-01-01 15:55,35.60,22.50,58.54,9.20,M,M
BTA,2025-01-01 16:15,35.40,23.40,61.28,9.20,M,M
BTA,2025-01-01 16:35,34.70,24.00,64.62,6.90,M,M
BTA,2025-01-01 16:55,33.00,24.00,69.16,4.60,M,M
BTA,2025-01-01 17:15,33.00,23.70,68.30,0.00,M,M
BTA,2025-01-01 17:35,32.40,23.40,69.09,0.00,M,M
BTA,2025-01-01 17:55,30.60,23.00,73.07,3.45,M,M
BTA,2025-01-01 18:15,31.50,23.00,70.45,3.45,M,M
BTA,2025-01-01 18:35,29.70,23.00,75.79,3.45,M,M
BTA,2025-01-01 18:55,30.20,23.40,75.52,3.45,M,M
BTA,2025-01-01 19:15,31.00,23.00,71.89,3.45,M,M
BTA,2025-01-01 19:35,30.00,23.40,76.14,3.45,M,M
BTA,2025-01-01 19:55,29.50,23.00,76.41,3.45,M,M
BTA,2025-01-01 20:15,29.30,23.00,77.03,4.60,M,M
BTA,2025-01-01 20:35,29.00,23.00,77.98,4.60,M,M
BTA,2025-01-01 20:55,29.00,22.50,76.36,4.60,M,M
BTA,2025-01-01 21:20,29.00,23.00,77.98,3.45,M,M
BTA,2025-01-01 21:35,28.80,23.00,78.62,3.45,M,M
BTA,2025-01-01 21:55,30.00,23.00,74.87,3.45,M,M
BTA,2025-01-01 22:15,29.30,23.00,77.03,3.45,8500.00,M
BTA,2025-01-01 22:35,27.70,22.60,80.88,4.60,9500.00,M
BTA,2025-01-01 22:55,28.80,23.40,79.96,3.45,8000.00,M
BTA,2025-01-01 23:15,29.70,24.00,79.03,0.00,6000.00,M
BTA,2025-01-01 23:35,30.00,24.30,79.06,3.45,6000.00,M
BTA,2025-01-01 23:55,30.20,24.40,78.75,0.00,5000.00,M
BTA,2025-01-02 00:15,29.70,24.00,79.03,4.60,6500.00,M
BTA,2025-01-02 00:35,29.70,24.30,80.03,3.45,7000.00,M
BTA,2025-01-02 00:55,30.20,24.60,79.41,4.60,7000.00,M
BTA,2025-01-02 01:15,30.60,24.60,78.13,4.60,7000.00,M
BTA,2025-01-02 01:35,30.40,24.80,79.42,0.00,7000.00,M
BTA,2025-01-02 01:55,30.20,25.30,81.76,4.60,4000.00,M
BTA,2025-01-02 02:15,30.20,25.50,82.44,5.75,2000.00,M
BTA,2025-01-02 02:35,29.00,26.40,89.86,5.75,1300.00,M
BTA,2025-01-02 02:55,28.40,27.00,94.41,4.60,1300.00,M
BTA,2025-01-02 03:15,28.40,27.50,96.37,4.60,1700.00,M
BTA,2025-01-02 03:35,28.40,27.50,96.37,4.60,800.00,M
BTA,2025-01-02 03:55,28.60,28.00,97.57,4.60,800.00,M
BTA,2025-01-02 04:15,28.40,28.00,98.37,3.45,600.00,M
BTA,2025-01-02 04:35,28.60,28.00,97.57,3.45,1300.00,M
BTA,2025-01-02 04:55,27.00,26.20,96.75,4.60,4700.00,M
BTA,2025-01-02 05:15,26.60,26.00,97.55,0.00,4000.00,M
BTA,2025-01-02 05:35,26.60,26.00,97.55,4.60,3100.00,M
BTA,2025-01-02 05:55,27.50,26.80,97.16,0.00,2900.00,M
BTA,2025-01-02 06:15,27.00,26.40,97.55,5.75,300.00,M
BTA,2025-01-02 06:35,28.00,27.30,97.16,4.60,300.00,M
