station,valid,tmpf,dwpf,relh,sped,skyl1,peak_wind_gust_mph
GRI,2025-01-01 00:53,21.00,17.00,84.26,5.75,M,M
GRI,2025-01-01 01:53,20.00,16.00,84.19,6.90,M,M
GRI,2025-01-01 02:53,18.00,15.00,87.81,8.05,M,M
GRI,2025-01-01 03:53,19.00,15.00,84.12,10.35,M,M
GRI,2025-01-01 04:53,18.00,14.00,84.05,10.35,M,M
GRI,2025-01-01 05:53,18.00,14.00,84.05,9.20,M,M
GRI,2025-01-01 06:53,18.00,14.00,84.05,10.35,M,M
GRI,2025-01-01 07:53,18.00,14.00,84.05,8.05,M,M
GRI,2025-01-01 08:53,20.00,15.00,80.60,10.35,M,M
GRI,2025-01-01 09:53,25.00,19.00,77.62,13.80,M,M
GRI,2025-01-01 10:53,30.00,21.00,68.81,8.05,M,M
GRI,2025-01-01 11:53,33.00,23.00,66.32,11.50,M,M
GRI,2025-01-01 12:53,35.00,24.00,63.85,12.65,M,M
GRI,2025-01-01 13:53,37.00,25.00,61.50,11.50,M,M
GRI,2025-01-01 14:53,39.00,24.00,54.54,9.20,M,M
GRI,2025-01-01 15:53,39.00,26.00,59.27,9.20,M,M
GRI,2025-01-01 16:53,36.00,26.00,66.69,6.90,M,M
GRI,2025-01-01 17:53,31.00,24.00,74.97,6.90,M,M
GRI,2025-01-01 18:53,30.00,23.00,74.87,8.05,M,M
GRI,2025-01-01 19:53,32.00,23.00,69.04,8.05,M,M
GRI,2025-01-01 20:53,31.00,23.00,71.89,8.05,10000.00,M
GRI,2025-01-01 21:53,30.00,23.00,74.87,9.20,12000.00,M
GRI,2025-01-01 22:53,33.00,23.00,66.32,14.95,10000.00,M
GRI,2025-01-01 23:53,34.00,23.00,63.72,14.95,10000.00,M
GRI,2025-01-02 00:53,33.00,23.00,66.32,17.25,9000.00,M
GRI,2025-01-02 01:53,32.00,24.00,72.00,13.80,10000.00,M
GRI,2025-01-02 02:53,31.00,23.00,71.89,12.65,10000.00,M
GRI,2025-01-02 03:53,31.00,24.00,74.97,11.50,10000.00,M
GRI,2025-01-02 04:53,26.00,22.00,84.59,5.75,10000.00,M
GRI,2025-01-02 05:53,22.00,21.00,95.86,3.45,M,M
GRI,2025-01-02 06:51,21.20,19.40,92.63,11.40,298.00,M
GRI,2025-01-02 06:53,22.00,21.00,95.86,10.35,300.00,M
GRI,2025-01-02 06:56,22.00,22.00,100.00,9.20,300.00,M
GRI,2025-01-02 07:03,22.00,22.00,100.00,9.20,200.00,M
GRI,2025-01-02 07:12,23.00,23.00,100.00,10.35,200.00,M
GRI,2025-01-02 07:53,26.00,25.00,95.93,11.50,200.00,M
GRI,2025-01-02 08:01,26.00,25.00,95.93,13.80,200.00,M
GRI,2025-01-02 08:11,26.00,25.00,95.93,11.50,200.00,M
GRI,2025-01-02 08:30,26.00,25.00,95.93,13.80,200.00,M
GRI,2025-01-02 08:40,26.00,26.00,100.00,13.80,200.00,M
GRI,2025-01-02 08:53,26.00,26.00,100.00,12.65,200.00,M
GRI,2025-01-02 09:33,27.00,26.00,95.95,16.10,200.00,M
GRI,2025-01-02 09:53,27.00,26.00,95.95,11.50,500.00,M
GRI,2025-01-02 10:53,29.00,27.00,92.12,9.20,800.00,M
GRI,2025-01-02 11:48,30.20,26.60,86.28,9.20,1000.00,M
GRI,2025-01-02 11:53,30.00,26.00,84.85,8.05,1200.00,M
GRI,2025-01-02 12:53,30.00,25.00,81.40,12.65,1200.00,M
GRI,2025-01-02 13:53,30.00,25.00,81.40,12.65,1200.00,M
GRI,2025-01-02 14:53,29.00,24.00,81.32,13.80,1200.00,M
GRI,2025-01-02 15:53,29.00,24.00,81.32,9.20,1300.00,M
GRI,2025-01-02 16:53,28.00,23.00,81.25,8.05,1400.00,M
