station,valid,tmpf,dwpf,relh,sped,skyl1,peak_wind_gust_mph
HSI,2025-01-01 00:53,20.00,16.00,84.19,8.05,M,M
HSI,2025-01-01 01:53,19.00,15.00,84.12,6.90,M,M
HSI,2025-01-01 02:53,20.00,15.00,80.60,9.20,M,M
HSI,2025-01-01 03:53,18.00,14.00,84.05,6.90,M,M
HSI,2025-01-01 04:53,17.00,13.00,83.98,5.75,M,M
HSI,2025-01-01 05:53,20.00,15.00,80.60,9.20,M,M
HSI,2025-01-01 06:53,20.00,15.00,80.60,10.35,M,M
HSI,2025-01-01 07:53,19.00,15.00,84.12,8.05,M,M
HSI,2025-01-01 08:53,21.00,16.00,80.69,6.90,M,M
HSI,2025-01-01 09:53,26.00,20.00,77.71,10.35,M,M
HSI,2025-01-01 10:53,31.00,23.00,71.89,6.90,M,M
HSI,2025-01-01 11:53,35.00,24.00,63.85,8.05,M,M
HSI,2025-01-01 12:53,37.00,24.00,58.99,8.05,M,M
HSI,2025-01-01 13:53,39.00,24.00,54.54,10.35,M,M
HSI,2025-01-01 14:53,40.00,24.00,52.45,11.50,M,M
HSI,2025-01-01 15:53,41.00,23.00,48.39,10.35,M,M
HSI,2025-01-01 16:53,38.00,22.00,52.14,3.45,M,M
HSI,2025-01-01 17:53,35.00,22.00,58.70,4.60,M,M
HSI,2025-01-01 18:53,34.00,22.00,61.09,4.60,M,M
HSI,2025-01-01 19:53,32.00,22.00,66.20,6.90,M,M
HSI,2025-01-01 20:53,30.00,22.00,71.78,6.90,M,M
HSI,2025-01-01 21:53,31.00,22.00,68.92,8.05,M,M
HSI,2025-01-01 22:53,32.00,23.00,69.04,11.50,11000.00,M
HSI,2025-01-01 23:53,32.00,23.00,69.04,10.35,11000.00,M
HSI,2025-01-02 00:53,33.00,23.00,66.32,10.35,10000.00,M
HSI,2025-01-02 01:53,33.00,23.00,66.32,9.20,10000.00,M
HSI,2025-01-02 02:53,31.00,23.00,71.89,6.90,11000.00,M
HSI,2025-01-02 03:53,31.00,23.00,71.89,8.05,10000.00,M
HSI,2025-01-02 04:53,29.00,22.00,74.77,5.75,11000.00,M
HSI,2025-01-02 05:53,25.00,21.00,84.53,5.75,M,M
HSI,2025-01-02 06:53,23.00,19.00,84.39,0.00,M,M
HSI,2025-01-02 07:53,23.00,20.00,88.08,10.35,M,M
HSI,2025-01-02 08:16,23.00,20.00,88.08,16.10,400.00,M
HSI,2025-01-02 08:24,23.00,21.00,91.90,13.80,200.00,M
HSI,2025-01-02 08:30,23.00,21.00,91.90,13.80,200.00,M
HSI,2025-01-02 08:43,23.00,22.00,95.88,11.50,200.00,M
HSI,2025-01-02 08:53,24.00,22.00,91.94,14.95,200.00,M
HSI,2025-01-02 09:18,26.00,25.00,95.93,13.80,200.00,M
HSI,2025-01-02 09:25,26.00,25.00,95.93,12.65,200.00,M
HSI,2025-01-02 09:53,27.00,26.00,95.95,16.10,200.00,M
HSI,2025-01-02 10:17,27.00,26.00,95.95,13.80,200.00,M
HSI,2025-01-02 10:44,28.00,26.00,92.08,14.95,200.00,M
HSI,2025-01-02 10:53,28.00,26.00,92.08,12.65,200.00,M
HSI,2025-01-02 11:05,28.00,27.00,95.97,11.50,200.00,M
HSI,2025-01-02 11:53,29.00,27.00,92.12,14.95,400.00,M
HSI,2025-01-02 12:09,29.00,27.00,92.12,14.95,600.00,M
HSI,2025-01-02 12:53,30.00,26.00,84.85,13.80,700.00,M
HSI,2025-01-02 13:38,31.00,26.00,81.48,11.50,1100.00,M
HSI,2025-01-02 13:53,31.00,25.00,78.16,11.50,1100.00,M
HSI,2025-01-02 14:53,31.00,25.00,78.16,10.35,1200.00,M
HSI,2025-01-02 15:53,30.00,24.00,78.07,11.50,1200.00,M
HSI,2025-01-02 16:53,30.00,24.00,78.07,10.35,1200.00,M
HSI,2025-01-02 17:53,29.00,23.00,77.98,9.20,1300.00,M
HSI,2025-01-02 18:53,28.00,22.00,77.89,9.20,1300.00,M
HSI,2025-01-02 19:53,28.00,22.00,77.89,8.05,1100.00,M
HSI,2025-01-02 20:53,27.00,22.00,81.17,10.35,1100.00,M
HSI,2025-01-02 21:53,28.00,22.00,77.89,8.05,1200.00,M
HSI,2025-01-02 22:53,28.00,22.00,77.89,6.90,1400.00,M
HSI,2025-01-02 23:33,28.00,22.00,77.89,9.20,1500.00,M
HSI,2025-01-02 23:53,28.00,22.00,77.89,6.90,1500.00,M
HSI,2025-01-03 00:53,28.00,22.00,77.89,5.75,1600.00,M
HSI,2025-01-03 01:53,28.00,22.00,77.89,3.45,1600.00,M
HSI,2025-01-03 02:53,28.00,21.00,74.67,3.45,1600.00,M
HSI,2025-01-03 03:53,27.00,22.00,81.17,3.45,1600.00,M
HSI,2025-01-03 04:53,27.00,22.00,81.17,3.45,1500.00,M
HSI,2025-01-03 05:53,27.00,21.00,77.80,4.60,1500.00,M
HSI,2025-01-03 06:01,27.00,21.00,77.80,3.45,1400.00,M
HSI,2025-01-03 06:53,26.00,22.00,84.59,4.60,1400.00,M
HSI,2025-01-03 07:53,27.00,22.00,81.17,0.00,1400.00,M
HSI,2025-01-03 08:53,27.00,22.00,81.17,0.00,1400.00,M
HSI,2025-01-03 09:53,28.00,22.00,77.89,4.60,1400.00,M
HSI,2025-01-03 10:53,28.00,23.00,81.25,0.00,1300.00,M
HSI,2025-01-03 11:53,29.00,23.00,77.98,0.00,1300.00,M
HSI,2025-01-03 12:45,30.00,23.00,74.87,3.45,1500.00,M
HSI,2025-01-03 12:53,30.00,23.00,74.87,3.45,1500.00,M
HSI,2025-01-03 13:53,32.00,24.00,72.00,4.60,1500.00,M
HSI,2025-01-03 14:53,31.00,23.00,71.89,9.20,1600.00,M
HSI,2025-01-03 15:53,29.00,23.00,77.98,11.50,1400.00,M
HSI,2025-01-03 16:53,28.00,22.00,77.89,11.50,1200.00,M
HSI,2025-01-03 17:53,28.00,22.00,77.89,12.65,1300.00,M
HSI,2025-01-03 18:53,27.00,22.00,81.17,13.80,1200.00,M
HSI,2025-01-03 19:19,26.00,22.00,84.59,12.65,900.00,M
HSI,2025-01-03 19:53,26.00,22.00,84.59,11.50,800.00,M
