station,valid,tmpf,dwpf,relh,sped,skyl1,peak_wind_gust_mph
LNK,2025-01-01 00:54,32.00,19.00,58.27,17.25,3200.00,M
LNK,2025-01-01 01:54,31.00,19.00,60.67,9.20,3400.00,M
LNK,2025-01-01 02:54,31.00,18.00,58.12,12.65,3700.00,M
LNK,2025-01-01 03:54,31.00,19.00,60.67,8.05,3300.00,M
LNK,2025-01-01 04:54,31.00,20.00,63.32,9.20,2800.00,M
LNK,2025-01-01 05:14,30.00,20.00,65.94,6.90,2700.00,M
LNK,2025-01-01 05:54,26.00,20.00,77.71,8.05,M,M
LNK,2025-01-01 06:54,24.00,18.00,77.53,8.05,M,M
LNK,2025-01-01 07:54,23.00,17.00,77.44,5.75,M,M
LNK,2025-01-01 08:54,25.00,18.00,74.36,5.75,M,M
LNK,2025-01-01 09:54,30.00,19.00,63.18,6.90,M,M
LNK,2025-01-01 10:54,33.00,20.00,58.41,8.05,M,M
LNK,2025-01-01 11:54,35.00,20.00,53.93,11.50,M,M
LNK,2025-01-01 12:54,38.00,22.00,52.14,11.50,M,M
LNK,2025-01-01 13:54,39.00,22.00,50.14,12.65,M,M
LNK,2025-01-01 14:54,41.00,22.00,46.39,9.20,M,M
LNK,2025-01-01 15:54,40.00,25.00,54.69,11.50,M,M
LNK,2025-01-01 16:54,38.00,25.00,59.13,5.75,M,M
LNK,2025-01-01 17:54,33.00,23.00,66.32,0.00,M,M
LNK,2025-01-01 18:54,30.00,22.00,71.78,0.00,M,M
LNK,2025-01-01 19:54,29.00,21.00,71.67,0.00,M,M
LNK,2025-01-01 20:54,29.00,23.00,77.98,3.45,9000.00,M
LNK,2025-01-01 21:54,28.00,22.00,77.89,4.60,M,M
LNK,2025-01-01 22:54,28.00,22.00,77.89,6.90,M,M
LNK,2025-01-01 23:54,28.00,22.00,77.89,4.60,M,M
LNK,2025-01-02 00:54,28.00,24.00,84.72,5.75,12000.00,M
LNK,2025-01-02 01:54,30.00,25.00,81.40,6.90,12000.00,M
LNK,2025-01-02 02:54,32.00,25.00,75.07,4.60,9000.00,M
LNK,2025-01-02 03:54,32.00,26.00,78.25,10.35,4300.00,M
LNK,2025-01-02 04:54,34.00,26.00,72.22,0.00,5000.00,M
LNK,2025-01-02 05:54,30.00,24.00,78.07,0.00,11000.00,M
LNK,2025-01-02 06:54,27.00,23.00,84.66,0.00,10000.00,M
LNK,2025-01-02 07:54,22.00,20.00,91.87,3.45,10000.00,M
LNK,2025-01-02 08:54,29.00,25.00,84.79,6.90,M,M
LNK,2025-01-02 09:35,31.00,27.00,84.92,12.65,2100.00,M
LNK,2025-01-02 09:54,32.00,27.00,81.55,13.80,2000.00,M
LNK,2025-01-02 10:16,32.00,28.00,84.98,13.80,600.00,M
LNK,2025-01-02 10:45,33.00,28.00,81.63,11.50,800.00,M
LNK,2025-01-02 10:54,33.00,28.00,81.63,13.80,800.00,M
LNK,2025-01-02 11:19,34.00,27.00,75.26,12.65,1300.00,M
LNK,2025-01-02 11:54,32.00,26.00,78.25,16.10,900.00,M
LNK,2025-01-02 12:54,30.00,25.00,81.40,14.95,600.00,M
LNK,2025-01-02 13:54,33.00,26.00,75.17,13.80,1100.00,M
LNK,2025-01-02 14:54,33.00,25.00,72.11,13.80,1400.00,M
LNK,2025-01-02 15:43,32.00,24.00,72.00,13.80,1500.00,M
LNK,2025-01-02 15:54,32.00,24.00,72.00,12.65,1500.00,M
LNK,2025-01-02 16:44,29.00,22.00,74.77,10.35,1600.00,M
LNK,2025-01-02 16:54,28.00,22.00,77.89,9.20,1600.00,M
LNK,2025-01-02 17:54,25.00,20.00,81.01,6.90,M,M
LNK,2025-01-02 18:54,21.00,17.00,84.26,9.20,M,M
LNK,2025-01-02 19:54,23.00,18.00,80.85,4.60,M,M
LNK,2025-01-02 20:54,23.00,18.00,80.85,5.75,M,M
LNK,2025-01-02 21:54,19.00,15.00,84.12,0.00,M,M
LNK,2025-01-02 22:21,23.00,17.00,77.44,3.45,2100.00,M
LNK,2025-01-02 22:54,24.00,19.00,80.93,0.00,2100.00,M
LNK,2025-01-02 23:54,26.00,20.00,77.71,5.75,1800.00,M
LNK,2025-01-03 00:27,28.00,21.00,74.67,8.05,1700.00,M
LNK,2025-01-03 00:54,28.00,21.00,74.67,6.90,2600.00,M
LNK,2025-01-03 01:54,28.00,21.00,74.67,6.90,2500.00,M
LNK,2025-01-03 02:54,29.00,20.00,68.69,5.75,2200.00,M
LNK,2025-01-03 03:54,29.00,20.00,68.69,5.75,2400.00,M
LNK,2025-01-03 04:54,29.00,19.00,65.81,6.90,2300.00,M
LNK,2025-01-03 05:54,29.00,20.00,68.69,5.75,2200.00,M
LNK,2025-01-03 06:54,28.00,19.00,68.57,10.35,2200.00,M
LNK,2025-01-03 07:54,27.00,18.00,68.45,3.45,2100.00,M
LNK,2025-01-03 08:54,28.00,19.00,68.57,0.00,2100.00,M
LNK,2025-01-03 09:54,29.00,19.00,65.81,0.00,2200.00,M
LNK,2025-01-03 10:54,28.00,20.00,71.56,6.90,2100.00,M
LNK,2025-01-03 11:54,28.00,20.00,71.56,5.75,2200.00,M
LNK,2025-01-03 12:54,28.00,20.00,71.56,6.90,2100.00,M
LNK,2025-01-03 13:54,28.00,20.00,71.56,6.90,2100.00,M
LNK,2025-01-03 14:30,28.00,20.00,71.56,10.35,1800.00,M
LNK,2025-01-03 14:54,28.00,20.00,71.56,9.20,1900.00,M
LNK,2025-01-03 15:17,27.00,20.00,74.57,10.35,2100.00,M
LNK,2025-01-03 15:47,27.00,21.00,77.80,8.05,2300.00,M
LNK,2025-01-03 15:54,27.00,20.00,74.57,8.05,2300.00,M
LNK,2025-01-03 16:01,27.00,20.00,74.57,6.90,3300.00,M
LNK,2025-01-03 16:14,27.00,20.00,74.57,8.05,2900.00,M
LNK,2025-01-03 16:23,26.00,20.00,77.71,9.20,2900.00,M
LNK,2025-01-03 16:36,26.00,18.00,71.33,9.20,2700.00,M
LNK,2025-01-03 16:54,25.00,18.00,74.36,9.20,11000.00,M
LNK,2025-01-03 17:54,24.00,14.00,65.17,6.90,5000.00,M
LNK,2025-01-03 18:54,23.00,13.00,65.03,6.90,12000.00,M
LNK,2025-01-03 19:54,22.00,14.00,70.88,10.35,4800.00,M
LNK,2025-01-03 20:54,22.00,13.00,67.83,8.05,4500.00,M
LNK,2025-01-03 21:54,22.00,14.00,70.88,9.20,4700.00,M
LNK,2025-01-03 22:54,22.00,13.00,67.83,9.20,4700.00,M
LNK,2025-01-03 23:54,22.00,13.00,67.83,8.05,4900.00,M
LNK,2025-01-04 00:54,22.00,13.00,67.83,8.05,4800.00,M
LNK,2025-01-04 01:54,22.00,12.00,64.90,9.20,7000.00,M
