station,valid,tmpf,dwpf,relh,sped,skyl1,peak_wind_gust_mph
OFK,2025-01-01 00:56,30.00,19.00,63.18,12.65,3700.00,M
OFK,2025-01-01 01:56,30.00,20.00,65.94,11.50,3400.00,M
OFK,2025-01-01 02:56,30.00,19.00,63.18,14.95,3100.00,M
OFK,2025-01-01 03:56,29.00,18.00,63.05,11.50,3100.00,M
OFK,2025-01-01 04:56,24.00,17.00,74.26,8.05,M,M
OFK,2025-01-01 05:56,23.00,16.00,74.15,9.20,M,M
OFK,2025-01-01 06:56,21.00,15.00,77.25,9.20,M,M
OFK,2025-01-01 07:56,21.00,15.00,77.25,9.20,M,M
OFK,2025-01-01 08:56,24.00,16.00,71.11,4.60,M,M
OFK,2025-01-01 09:56,26.00,16.00,65.43,9.20,M,M
OFK,2025-01-01 10:56,30.00,19.00,63.18,8.05,M,M
OFK,2025-01-01 11:56,33.00,20.00,58.41,8.05,M,M
OFK,2025-01-01 12:56,34.00,21.00,58.56,11.50,M,M
OFK,2025-01-01 13:56,36.00,23.00,58.85,10.35,M,M
OFK,2025-01-01 14:56,37.00,23.00,56.57,9.20,M,M
OFK,2025-01-01 15:56,37.00,23.00,56.57,6.90,M,M
OFK,2025-01-01 16:56,32.00,23.00,69.04,4.60,M,M
OFK,2025-01-01 17:56,31.00,23.00,71.89,0.00,M,M
OFK,2025-01-01 18:56,26.00,21.00,81.09,4.60,M,M
OFK,2025-01-01 19:56,26.00,21.00,81.09,4.60,9500.00,M
OFK,2025-01-01 20:56,29.00,24.00,81.32,4.60,7000.00,M
OFK,2025-01-01 21:56,29.00,24.00,81.32,5.75,7000.00,M
OFK,2025-01-01 22:50,30.20,24.80,80.07,6.90,2100.00,M
OFK,2025-01-01 22:56,30.00,25.00,81.40,8.05,2100.00,M
OFK,2025-01-01 22:58,30.00,25.00,81.40,6.90,2100.00,M
OFK,2025-01-01 23:08,30.00,25.00,81.40,8.05,2100.00,M
OFK,2025-01-01 23:56,31.00,26.00,81.48,4.60,3400.00,M
OFK,2025-01-02 00:11,31.00,27.00,84.92,4.60,2400.00,M
OFK,2025-01-02 00:15,31.00,27.00,84.92,5.75,2000.00,M
OFK,2025-01-02 00:26,31.00,27.00,84.92,4.60,1300.00,M
OFK,2025-01-02 00:40,30.00,27.00,88.44,8.05,800.00,M
OFK,2025-01-02 00:56,30.00,27.00,88.44,5.75,700.00,M
OFK,2025-01-02 01:07,30.00,27.00,88.44,9.20,1000.00,M
OFK,2025-01-02 01:31,30.00,27.00,88.44,8.05,400.00,M
OFK,2025-01-02 01:56,29.00,26.00,88.38,8.05,600.00,M
OFK,2025-01-02 02:03,29.00,26.00,88.38,8.05,600.00,M
OFK,2025-01-02 02:14,29.00,26.00,88.38,5.75,600.00,M
OFK,2025-01-02 02:56,29.00,26.00,88.38,6.90,700.00,M
OFK,2025-01-02 03:56,29.00,25.00,84.79,5.75,700.00,M
OFK,2025-01-02 04:56,29.00,25.00,84.79,8.05,700.00,M
OFK,2025-01-02 05:56,28.00,24.00,84.72,11.50,800.00,M
OFK,2025-01-02 06:04,28.00,24.00,84.72,9.20,1000.00,M
OFK,2025-01-02 06:28,28.00,24.00,84.72,8.05,700.00,M
OFK,2025-01-02 06:43,28.00,24.00,84.72,10.35,700.00,M
