station,valid,tmpf,dwpf,relh,sped,skyl1,peak_wind_gust_mph
OMA,2025-01-01 00:52,31.00,21.00,66.07,10.35,4300.00,M
OMA,2025-01-01 01:52,31.00,20.00,63.32,10.35,3800.00,M
OMA,2025-01-01 02:52,31.00,20.00,63.32,13.80,3800.00,M
OMA,2025-01-01 03:52,31.00,19.00,60.67,10.35,3700.00,M
OMA,2025-01-01 04:52,30.00,19.00,63.18,6.90,3600.00,M
OMA,2025-01-01 05:52,31.00,19.00,60.67,9.20,3500.00,M
OMA,2025-01-01 06:52,31.00,19.00,60.67,8.05,3200.00,M
OMA,2025-01-01 07:43,30.00,20.00,65.94,12.65,2900.00,M
OMA,2025-01-01 07:52,30.00,20.00,65.94,12.65,2900.00,M
OMA,2025-01-01 08:41,29.00,20.00,68.69,9.20,3000.00,M
OMA,2025-01-01 08:52,29.00,20.00,68.69,12.65,3000.00,M
OMA,2025-01-01 09:52,30.00,20.00,65.94,8.05,3500.00,M
OMA,2025-01-01 10:52,33.00,20.00,58.41,8.05,3500.00,M
OMA,2025-01-01 11:52,35.00,21.00,56.27,10.35,3000.00,M
OMA,2025-01-01 12:52,36.00,21.00,54.08,10.35,3000.00,M
OMA,2025-01-01 13:52,37.00,22.00,54.23,10.35,3000.00,M
OMA,2025-01-01 14:52,37.00,22.00,54.23,8.05,3000.00,M
OMA,2025-01-01 15:52,38.00,22.00,52.14,9.20,3000.00,M
OMA,2025-01-01 16:52,36.00,22.00,56.42,6.90,3000.00,M
OMA,2025-01-01 17:52,34.00,23.00,63.72,3.45,3000.00,M
OMA,2025-01-01 18:52,30.00,22.00,71.78,5.75,25000.00,M
OMA,2025-01-01 19:52,29.00,21.00,71.67,0.00,M,M
OMA,2025-01-01 20:52,28.00,22.00,77.89,4.60,M,M
OMA,2025-01-01 21:52,27.00,22.00,81.17,5.75,M,M
OMA,2025-01-01 22:52,26.00,22.00,84.59,9.20,10000.00,M
OMA,2025-01-01 23:52,29.00,23.00,77.98,5.75,8000.00,M
OMA,2025-01-02 00:52,28.00,23.00,81.25,6.90,6500.00,M
OMA,2025-01-02 01:52,28.00,24.00,84.72,5.75,10000.00,M
OMA,2025-01-02 02:41,29.00,25.00,84.79,8.05,4400.00,M
OMA,2025-01-02 02:52,30.00,26.00,84.85,5.75,4600.00,M
OMA,2025-01-02 03:06,30.00,26.00,84.85,6.90,4100.00,M
OMA,2025-01-02 03:12,30.00,26.00,84.85,6.90,3900.00,M
OMA,2025-01-02 03:26,30.00,27.00,88.44,0.00,2900.00,M
OMA,2025-01-02 03:33,30.00,27.00,88.44,8.05,2500.00,M
OMA,2025-01-02 03:52,30.00,27.00,88.44,9.20,2300.00,M
OMA,2025-01-02 03:59,30.00,27.00,88.44,8.05,2000.00,M
OMA,2025-01-02 04:48,28.40,28.40,100.00,4.60,1400.00,M
OMA,2025-01-02 04:52,30.00,29.00,96.00,3.45,1300.00,M
OMA,2025-01-02 05:00,30.00,29.00,96.00,3.45,1100.00,M
OMA,2025-01-02 05:06,30.00,29.00,96.00,3.45,400.00,M
OMA,2025-01-02 05:14,29.00,28.00,95.99,4.60,600.00,M
OMA,2025-01-02 05:34,27.00,27.00,100.00,6.90,4900.00,M
OMA,2025-01-02 05:52,26.00,26.00,100.00,3.45,5500.00,M
OMA,2025-01-02 06:34,28.00,27.00,95.97,4.60,600.00,M
OMA,2025-01-02 06:52,28.00,27.00,95.97,0.00,600.00,M
OMA,2025-01-02 07:36,28.00,27.00,95.97,5.75,2900.00,M
OMA,2025-01-02 07:42,29.00,27.00,92.12,6.90,600.00,M
OMA,2025-01-02 07:52,29.00,27.00,92.12,8.05,600.00,M
OMA,2025-01-02 08:52,29.00,28.00,95.99,8.05,700.00,M
OMA,2025-01-02 09:48,28.40,28.40,100.00,8.05,500.00,M
OMA,2025-01-02 09:52,30.00,28.00,92.15,8.05,500.00,M
OMA,2025-01-02 10:24,30.00,28.00,92.15,6.90,700.00,M
OMA,2025-01-02 10:52,28.00,26.00,92.08,16.10,800.00,M
OMA,2025-01-02 11:52,28.00,26.00,92.08,13.80,800.00,M
OMA,2025-01-02 12:31,29.00,25.00,84.79,8.05,1000.00,M
OMA,2025-01-02 12:52,29.00,25.00,84.79,11.50,1000.00,M
OMA,2025-01-02 13:52,29.00,25.00,84.79,11.50,1200.00,M
OMA,2025-01-02 14:45,30.00,25.00,81.40,11.50,1500.00,M
OMA,2025-01-02 14:52,30.00,25.00,81.40,11.50,1500.00,M
OMA,2025-01-02 15:52,28.00,23.00,81.25,11.50,1800.00,M
OMA,2025-01-02 16:52,27.00,22.00,81.17,10.35,2000.00,M
OMA,2025-01-02 17:52,23.00,20.00,88.08,5.75,1800.00,M
OMA,2025-01-02 18:06,22.00,19.00,88.02,4.60,1800.00,M
OMA,2025-01-02 18:52,20.00,17.00,87.92,3.45,1800.00,M
OMA,2025-01-02 19:52,18.00,16.00,91.72,3.45,1800.00,M
OMA,2025-01-02 20:52,19.00,17.00,91.76,3.45,M,M
OMA,2025-01-02 21:52,18.00,15.00,87.81,4.60,M,M
OMA,2025-01-02 22:52,19.00,16.00,87.87,4.60,3600.00,M
OMA,2025-01-02 23:52,21.00,18.00,87.97,4.60,3600.00,M
OMA,2025-01-03 00:46,23.00,19.40,85.85,4.60,2500.00,M
OMA,2025-01-03 00:52,23.00,20.00,88.08,4.60,2500.00,M
OMA,2025-01-03 01:52,23.00,19.00,84.39,4.60,2700.00,M
OMA,2025-01-03 02:52,23.00,20.00,88.08,0.00,2600.00,M
OMA,2025-01-03 03:52,22.00,17.00,80.77,10.35,1900.00,M
OMA,2025-01-03 04:52,21.00,16.00,80.69,9.20,2300.00,M
OMA,2025-01-03 05:52,20.00,15.00,80.60,10.35,1500.00,M
OMA,2025-01-03 06:43,17.00,14.00,87.76,10.35,2400.00,M
OMA,2025-01-03 06:52,17.00,13.00,83.98,9.20,2400.00,M
OMA,2025-01-03 07:38,17.00,13.00,83.98,6.90,2500.00,M
OMA,2025-01-03 07:50,15.80,12.20,85.40,6.93,2500.00,M
OMA,2025-01-03 07:52,16.00,13.00,87.70,8.05,2600.00,M
OMA,2025-01-03 08:52,17.00,12.00,80.36,10.35,2900.00,M
OMA,2025-01-03 09:52,19.00,12.00,73.73,9.20,3100.00,M
OMA,2025-01-03 10:41,19.00,11.00,70.53,9.20,2100.00,M
OMA,2025-01-03 10:52,19.00,11.00,70.53,9.20,2100.00,M
OMA,2025-01-03 11:50,19.40,12.20,73.13,9.17,2099.00,M
OMA,2025-01-03 11:52,20.00,12.00,70.65,9.20,2100.00,M
OMA,2025-01-03 12:52,21.00,13.00,70.76,8.05,2500.00,M
OMA,2025-01-03 13:52,21.00,12.00,67.71,8.05,10000.00,M
OMA,2025-01-03 14:52,21.00,13.00,70.76,10.35,10000.00,M
OMA,2025-01-03 15:52,20.00,13.00,73.84,11.50,9000.00,M
OMA,2025-01-03 16:52,20.00,13.00,73.84,10.35,6500.00,M
OMA,2025-01-03 17:52,20.00,13.00,73.84,5.75,9000.00,M
OMA,2025-01-03 18:52,20.00,14.00,77.16,6.90,7000.00,M
OMA,2025-01-03 19:52,20.00,14.00,77.16,4.60,7000.00,M
OMA,2025-01-03 20:52,20.00,14.00,77.16,5.75,7000.00,M
OMA,2025-01-03 21:52,20.00,13.00,73.84,8.05,7000.00,M
OMA,2025-01-03 22:52,20.00,14.00,77.16,8.05,7000.00,M
OMA,2025-01-03 23:52,20.00,14.00,77.16,5.75,6500.00,M
OMA,2025-01-04 00:45,20.00,14.00,77.16,6.90,6000.00,M
OMA,2025-01-04 00:52,20.00,14.00,77.16,6.90,6000.00,M
OMA,2025-01-04 01:22,20.00,13.00,73.84,8.05,5500.00,M
OMA,2025-01-04 01:29,20.00,13.00,73.84,8.05,5000.00,M
OMA,2025-01-04 01:52,20.00,13.00,73.84,9.20,4200.00,M
OMA,2025-01-04 02:52,20.00,12.00,70.65,8.05,4300.00,M
OMA,2025-01-04 03:52,18.00,10.00,70.41,12.65,8000.00,M
OMA,2025-01-04 04:02,18.00,9.00,67.33,8.05,7500.00,M
OMA,2025-01-04 04:52,16.00,7.00,67.07,8.05,7500.00,M
OMA,2025-01-04 05:52,15.00,7.00,70.06,5.75,5000.00,M
OMA,2025-01-04 06:52,14.00,5.00,66.82,8.05,7000.00,M
OMA,2025-01-04 07:52,14.00,4.00,63.82,10.35,6000.00,M
OMA,2025-01-04 08:52,14.00,4.00,63.82,4.60,7000.00,M
OMA,2025-01-04 09:52,14.00,5.00,66.82,10.35,6500.00,M
OMA,2025-01-04 10:52,14.00,5.00,66.82,8.05,5500.00,M
OMA,2025-01-04 11:52,15.00,7.00,70.06,9.20,6000.00,M
OMA,2025-01-04 12:52,15.00,7.00,70.06,11.50,6000.00,M
OMA,2025-01-04 13:52,16.00,7.00,67.07,8.05,6000.00,M
OMA,2025-01-04 14:52,16.00,7.00,67.07,8.05,5000.00,M
OMA,2025-01-04 15:52,15.00,6.00,66.95,11.50,5000.00,M
OMA,2025-01-04 16:42,15.00,5.00,63.96,9.20,8000.00,M
OMA,2025-01-04 16:52,15.00,5.00,63.96,9.20,8000.00,M
OMA,2025-01-04 17:52,14.00,3.00,60.94,9.20,7000.00,M
OMA,2025-01-04 18:52,14.00,3.00,60.94,9.20,4600.00,M
OMA,2025-01-04 19:52,15.00,3.00,58.34,11.50,6500.00,M
OMA,2025-01-04 20:27,15.00,2.00,55.69,10.35,6000.00,M
OMA,2025-01-04 20:52,15.00,3.00,58.34,9.20,4400.00,M
OMA,2025-01-04 21:02,15.00,3.00,58.34,8.05,4200.00,M
OMA,2025-01-04 21:52,16.00,6.00,64.09,12.65,5500.00,M
OMA,2025-01-04 22:34,16.00,7.00,67.07,10.35,6500.00,M
OMA,2025-01-04 22:52,16.00,8.00,70.18,13.80,3600.00,M
OMA,2025-01-04 23:44,17.00,8.00,67.20,11.50,3500.00,M
OMA,2025-01-04 23:52,17.00,7.00,64.23,12.65,3500.00,M
OMA,2025-01-04 23:58,16.00,7.00,67.07,11.50,3600.00,M
OMA,2025-01-05 00:52,16.00,8.00,70.18,12.65,3900.00,M
OMA,2025-01-05 01:07,16.00,7.00,67.07,12.65,3900.00,M
OMA,2025-01-05 01:52,16.00,4.00,58.49,13.80,3900.00,M
OMA,2025-01-05 02:44,16.00,5.00,61.23,16.10,4100.00,M
OMA,2025-01-05 02:52,16.00,5.00,61.23,18.40,4100.00,M
OMA,2025-01-05 03:52,15.00,6.00,66.95,17.25,4800.00,M
OMA,2025-01-05 04:52,15.00,6.00,66.95,13.80,5000.00,M
OMA,2025-01-05 05:52,14.00,2.00,58.18,17.25,6000.00,M
OMA,2025-01-05 06:22,14.00,2.00,58.18,13.80,6500.00,M
OMA,2025-01-05 06:52,14.00,0.00,53.00,20.70,7000.00,34.50
OMA,2025-01-05 07:52,13.00,1.00,58.03,20.70,6500.00,31.05
OMA,2025-01-05 08:52,13.00,0.00,55.38,13.80,6000.00,M
OMA,2025-01-05 09:52,14.00,-2.00,48.23,21.85,5000.00,M
OMA,2025-01-05 10:52,14.00,-1.00,50.56,23.00,8000.00,32.20
OMA,2025-01-05 11:52,14.00,-2.00,48.23,24.15,10000.00,34.50
OMA,2025-01-05 12:52,13.00,-2.00,50.39,23.00,9500.00,31.05
OMA,2025-01-05 13:52,13.00,1.00,58.03,19.55,11000.00,32.20
OMA,2025-01-05 14:52,13.00,-1.00,52.83,21.85,11000.00,31.05
OMA,2025-01-05 15:52,14.00,-1.00,50.56,20.70,12000.00,31.05
OMA,2025-01-05 16:52,15.00,0.00,50.73,20.70,12000.00,29.90
OMA,2025-01-05 17:52,16.00,0.00,48.57,13.80,12000.00,M
OMA,2025-01-05 18:52,16.00,1.00,50.90,17.25,12000.00,M
OMA,2025-01-05 19:52,16.00,1.00,50.90,14.95,12000.00,M
OMA,2025-01-05 20:52,15.00,2.00,55.69,20.70,18000.00,31.05
OMA,2025-01-05 21:52,13.00,2.00,60.80,17.25,18000.00,M
