station,valid,tmpf,dwpf,relh,sped,skyl1,peak_wind_gust_mph
BFF,2025-01-01 00:53,16.00,11.00,80.27,8.05,M,M
BFF,2025-01-01 01:53,12.00,8.00,83.63,5.75,M,M
BFF,2025-01-01 02:53,13.00,9.00,83.70,0.00,M,M
BFF,2025-01-01 03:53,12.00,7.00,79.93,0.00,M,M
BFF,2025-01-01 04:53,10.00,5.00,79.76,0.00,M,M
BFF,2025-01-01 05:53,10.00,5.00,79.76,3.45,M,M
BFF,2025-01-01 06:53,12.00,6.00,76.38,0.00,M,M
BFF,2025-01-01 07:53,9.00,3.00,76.08,0.00,M,M
BFF,2025-01-01 08:53,9.00,3.00,76.08,5.75,M,M
BFF,2025-01-01 09:53,16.00,11.00,80.27,0.00,M,M
BFF,2025-01-01 10:53,23.00,14.00,67.96,3.45,M,M
BFF,2025-01-01 11:53,29.00,17.00,60.39,3.45,M,M
BFF,2025-01-01 12:53,32.00,18.00,55.82,3.45,M,M
BFF,2025-01-01 13:53,37.00,18.00,45.73,3.45,M,M
BFF,2025-01-01 14:53,38.00,17.00,42.11,4.60,9000.00,M
BFF,2025-01-01 15:53,37.00,12.00,35.20,8.05,7000.00,M
BFF,2025-01-01 16:53,36.00,14.00,39.99,8.05,6000.00,M
BFF,2025-01-01 17:53,35.00,13.00,39.82,0.00,8000.00,M
BFF,2025-01-01 18:53,31.00,12.00,44.73,0.00,9500.00,M
BFF,2025-01-01 19:53,29.00,12.00,48.53,3.45,9500.00,M
BFF,2025-01-01 20:53,30.00,10.00,42.62,6.90,7000.00,M
BFF,2025-01-01 21:53,30.00,11.00,44.57,3.45,7000.00,M
BFF,2025-01-01 22:53,29.00,12.00,48.53,3.45,7000.00,M
BFF,2025-01-01 23:53,29.00,13.00,50.72,3.45,6000.00,M
BFF,2025-01-02 00:53,29.00,14.00,53.00,3.45,6000.00,M
BFF,2025-01-02 01:53,29.00,13.00,50.72,0.00,6000.00,M
BFF,2025-01-02 02:53,28.00,13.00,52.84,3.45,6500.00,M
BFF,2025-01-02 03:53,24.00,14.00,65.17,6.90,7000.00,M
BFF,2025-01-02 04:53,23.00,13.00,65.03,5.75,10000.00,M
BFF,2025-01-02 05:53,21.00,11.00,64.77,5.75,M,M
BFF,2025-01-02 06:53,23.00,12.00,62.23,0.00,8000.00,M
BFF,2025-01-02 07:53,24.00,13.00,62.36,0.00,7000.00,M
BFF,2025-01-02 08:53,24.00,14.00,65.17,3.45,7000.00,M
BFF,2025-01-02 09:53,28.00,14.00,55.21,5.75,6000.00,M
BFF,2025-01-02 10:53,28.00,16.00,60.25,5.75,2800.00,M
BFF,2025-01-02 11:06,29.00,17.00,60.39,5.75,3000.00,M
BFF,2025-01-02 11:34,28.00,19.00,68.57,4.60,2600.00,M
BFF,2025-01-02 11:42,28.00,19.00,68.57,3.45,2600.00,M
BFF,2025-01-02 11:51,28.40,19.40,68.61,5.81,2700.00,M
BFF,2025-01-02 11:53,28.00,20.00,71.56,5.75,2700.00,M
BFF,2025-01-02 12:53,28.00,20.00,71.56,3.45,4800.00,M
BFF,2025-01-02 13:53,29.00,21.00,71.67,3.45,3700.00,M
BFF,2025-01-02 14:53,29.00,22.00,74.77,4.60,3500.00,M
BFF,2025-01-02 15:53,29.00,22.00,74.77,0.00,3600.00,M
BFF,2025-01-02 16:53,29.00,23.00,77.98,5.75,4100.00,M
